patent_id,score,confidence,justification,tokens_in,tokens_out,elapsed
8214375,0.85,high,"The claim applies established clustering algorithms to usage data (command frequency tables) without disclosing any improvement to the machine learning model itself, merely applying it to a new data environment (software application usage).",615,64,1.78
8160332,0.85,high,"The claim applies established machine learning techniques (deformation field computation, objective function optimization) to a new data environment (vessel model registration with image data) without disclosing any technological improvement to the model itself, such as a new architecture, loss function, or training procedure.",553,79,1.81
8108931,0.85,high,"The claim applies a machine learning technique to a new data environment (software package snapshots) without disclosing any improvement to the machine learning model itself, reciting only generic steps like 'applying a machine learning technique' and 'filtering'.",492,74,1.93
8316056,0.85,high,The claim applies established binary search and connection graph traversal techniques to a social networking data environment without disclosing any improvement to the underlying machine learning model or search algorithm.,699,56,1.83
8266077,0.85,high,"The claim applies established techniques (term-frequency vectors, latent semantic analysis, correlation matrix, clustering) to a new data environment (analyzing documents) without disclosing any improvement to the underlying machine learning models.",538,65,1.9
8239227,0.85,high,"The claim applies established machine learning techniques (inference engine, community search engine) to a new data environment (executive reporting) without disclosing any technological improvement to the model itself.",618,61,1.74
8219547,0.85,high,"The claim applies established OLAP cube techniques to a new data environment (relational database query optimization) without disclosing any technological improvement to the machine learning model itself, as it merely uses a 'large online analytical processing cube' to respond to queries based on data size thresholds.",519,79,1.99
8099408,0.85,high,"The claim applies established clustering and link analysis techniques to the new data environment of web crawling without disclosing any improvement to the machine learning model itself, as seen in 'generating a site map... representing clusters of similar web pages' and 'identifying skeletal links... based on assessing the coverage and informativeness'.",598,87,2.42
8131750,0.85,high,"The claim applies established machine learning techniques (tagging, annotation, context analysis) to a new data environment (user's state of mind and experience) without disclosing any technological improvement to the machine learning model itself.",599,67,1.85
8285652,0.85,high,"The claim applies established machine learning techniques (e.g., natural language interface, bot content indexing) to a new data environment (online search service integration) without disclosing any technological improvement to the model itself.",534,65,1.8
8190595,0.85,high,"The claim applies established query optimization techniques (e.g., DAG, cost model) to a new data environment (database query hints) without disclosing any improvement to the underlying machine learning or optimization model itself.",579,66,1.92
8315908,0.85,high,"The claim recites receiving a budget goal and selecting distribution options (maximize audience, even distribution, cheapest impressions) and generating a bid proposal, which applies established business rules to a new data environment (digital advertising) without disclosing any technological improvement to a machine learning model.",585,79,2.24
8130915,0.85,high,"The claim applies established machine learning techniques (voice print creation, reference models, comparison) to a new data environment (joint account IVR verification) without disclosing any technological improvement to the model itself, such as a new architecture or training procedure.",857,73,2.34
8250014,0.85,high,"The claim applies established machine learning techniques (quality function, uncertainty propagation, action selection rule) to a technical system control domain without disclosing any specific technological improvement to the model itself.",504,60,1.85
8145667,0.1,high,"The claim recites a specific technological improvement to XML processing by generating a payload independent of schema using field path and parent path analysis, which is not an established machine learning technique applied to a new data environment.",681,65,2.71
8296250,0.85,high,"The claim recites 'a set of two or more neural network models, each neural network model being trained with historical data related to the subject to profile an identity of the subject for a class of cases' without disclosing any specific technological improvement to the neural network architecture, loss function, training procedure, or representation, instead applying established machine learning techniques to the new data environment of identity protection.",572,102,2.44
8302571,0.15,medium,"The claim recites a specific learning section that computes and stores a relationship between deviation amount and lift amount in different lift amount regions, which is a technological improvement to the control device's learning process, not merely applying established ML to a new data environment.",689,74,2.29
8335705,0.85,high,The claim applies established database searching and matching techniques to a resource allocation business problem without disclosing any technological improvement to the underlying machine learning models.,732,52,2.17
8099373,0.85,high,"The claim applies established machine learning techniques (weak classifiers, iterative training, updating working set based on false positive rate) to a new data environment (object detection) without disclosing any improvement to the model architecture, loss function, or training procedure.",464,73,2.41
8312085,0.85,high,The claim applies established statistical ratio-based thresholding to a spam detection domain without disclosing any improvement to the underlying machine learning model or algorithm.,613,52,1.66
8219415,0.85,high,The claim applies established similarity metrics and dynamic grouping to a healthcare data environment without disclosing any improvement to the machine learning model itself.,617,50,2.42
8189761,0.85,high,"The claim applies established queue management and dynamic value profiling techniques to a call center environment without disclosing any technological improvement to the underlying machine learning models, such as a new architecture, loss function, or training procedure.",582,66,1.89
8140529,0.85,high,The claim applies established machine learning techniques (using historical data to determine a second subset of fields) to a new data environment (database access optimization) without disclosing any improvement to the machine learning model itself.,598,65,1.91
8099777,0.0,high,"The claim recites a specific hardware architecture (multiple instruction stream, single data stream processor with defined components) that is a technological improvement to the computing system itself, not merely applying established machine learning to a new data environment.",445,68,2.17
8145456,0.85,high,"The claim applies established machine learning techniques (generating prediction models, comparing models) to a new data environment (virtual environment resource usage) without disclosing any improvement to the machine learning models themselves.",613,63,1.85
8261325,0.1,high,"The claim recites a method for providing remote message server configuration information using stored information and electronic mail addresses, which does not involve machine learning or any established ML techniques, and thus has low resemblance to Recentive-vulnerable claims.",489,70,3.49
8200454,0.85,high,"The claim applies established statistical and signal processing techniques (differentiation, variance analysis, frequency spectrum processing) to time series analysis without disclosing any improvement to the underlying machine learning models or algorithms.",637,62,1.68
8271863,0.15,medium,"The claim recites a specific decoder-estimator architecture with simultaneous processing and subset selection based on estimates, which suggests a technological improvement to the decoding process rather than merely applying established ML to a new domain.",521,65,1.77
8126891,0.85,high,"The claim applies established machine learning techniques (generative model, HMM, frequent episode mining) to a new data environment (predicting search engine switch) without disclosing any technological improvement to the model itself.",620,66,1.9
8332415,0.85,high,"The claim applies basic frequency and ratio calculations to determine spam likelihood, which are established techniques applied to a new data environment (trusted vs. untrusted sources) without disclosing any improvement to the underlying machine learning model.",594,68,1.77
8312285,0.0,high,"The claim recites specific technological improvements such as generating encrypted master and follower security tokens with communication data and profile copies, which are not merely applying established machine learning to a new data environment.",859,61,1.83
8117216,0.85,high,"The claim applies established machine learning techniques (recommendation engine, hierarchical categorization, filtering based on overlap) to a new data environment (navigating recommended items) without disclosing any technological improvement to the model itself.",596,68,1.94
8207449,0.0,high,"The claim recites a specific structural improvement to an electronic device, namely a non-metallic nanowire conductor grown from a catalyst on an electrode edge, which is a technological improvement to the device itself, not an application of machine learning.",487,71,2.01
8224806,0.85,high,"The claim recites a caching subsystem that stores and retrieves optimized query plans based on equivalence groups and predicate selectivity, which applies established caching and query optimization techniques to a database environment without disclosing any improvement to the underlying machine learning model or algorithm.",702,73,2.01
8156063,0.85,high,"The claim applies established machine learning techniques (similarity functions, iterative training, dynamic updating) to a new data environment (change requests) without disclosing any technological improvement to the model itself.",486,62,1.77
8184876,0.85,high,"The claim applies established iterative reconstruction techniques (e.g., gradient-based updates, weighting factors) to a specific imaging domain without disclosing any improvement to the underlying machine learning model or algorithm.",531,61,1.79
8175911,0.85,high,"The claim applies established machine learning techniques (statistics, data mining, mathematical models) to a new data environment (business models) without disclosing any improvement to the machine learning models themselves.",640,62,1.81
8230439,0.85,high,The claim applies established resource selection and optimization techniques to a new data environment (networked processing resources) without disclosing any technological improvement to the underlying machine learning model or algorithm.,653,59,1.93
8326067,0.1,high,"The claim recites a specific technological improvement to the model itself: a perceptual weighting factor applied to the rate-distortion cost function that adjusts weights based on quantization step sizes, which is a novel loss function modification.",572,66,1.9
8238675,0.15,high,"The claim recites a specific technological improvement: performing nonlinear partial differential equation regularization and enforcing constraints that predict AC coefficients using DC coefficients from neighboring blocks via a Hadamard transform matrix, which is a novel image reconstruction technique rather than merely applying established ML to a new domain.",484,78,2.12
8359190,0.85,high,The claim recites 'identifying senses of words' and 'determining semantic positions in a semantic space' which are established natural language processing techniques applied to text data without disclosing any improvement to the underlying machine learning model.,426,69,1.86
8606788,0.85,high,"The claim recites a system that applies established machine learning techniques (e.g., matching, correlation, hierarchy generation) to a new data environment (catalog item strings and brand strings) without disclosing any improvement to the machine learning models themselves.",763,73,2.16
8468114,0.85,high,"The claim applies established machine learning techniques (inference rules, personalized model construction, knowledge database) to a new data environment (event management system) without disclosing any technological improvement to the model itself.",542,64,1.69
8473933,0.1,high,"The claim recites a specific computer-based method for modifying call sites based on parameter lists, which is a technological improvement to code compilation or transformation, not merely applying established machine learning to a new data environment.",476,65,2.02
8488881,0.85,high,"The claim applies established image segmentation techniques (block division, feature computation, confidence thresholding) to a self-checkout environment without disclosing any improvement to the underlying machine learning model or algorithm.",564,62,1.54
8370279,0.85,high,"The claim recites generating a trained predictive model using a training function and generating a score normalization model using a score normalization training function, which are generic machine learning steps applied to a new data environment without disclosing any specific technological improvement to the model architecture, loss function, or training procedure.",466,81,2.02
8392453,0.85,high,"The claim applies established machine learning techniques (frequency analysis, co-concurrence weightings) to generate predictive text entry dictionary probability data for a new data environment (search requests) without disclosing any improvement to the underlying model architecture, loss function, training procedure, representation, or sampling method.",622,82,2.84
8453234,0.85,high,The claim applies established machine learning techniques (behavioral engine that learns or trains to identify normal operating conditions) to a new data environment (centralized security management system) without disclosing any technological improvement to the model itself.,622,68,1.87
8478751,0.85,high,"The claim applies established machine learning techniques (ranking, thresholding, demoting) to a new data environment (search session with multiple queries) without disclosing any technological improvement to the model itself.",669,63,1.8
8600105,0.85,high,"The claim applies established statistical combination and thresholding techniques to a new data environment (image data) without disclosing any improvement to the underlying machine learning model, such as a new architecture or training procedure.",445,64,1.82
8595174,0.85,high,"The claim applies established machine learning techniques (information gain, entropy) to a new data environment (knowledge database for problem solving) without disclosing any improvement to the underlying model.",597,59,1.76
8548627,0.85,high,The claim applies established semantic web service matching and workflow composition techniques to a multi-robot coordination environment without disclosing any improvement to the underlying machine learning models or algorithms.,742,57,2.01
8527760,0.85,high,The claim applies established trust calculation methods (weighted sum with time decay) to a device interaction environment without disclosing any improvement to the underlying machine learning model or algorithm.,686,58,1.76
8606384,0.85,high,"The claim applies established machine learning techniques (mood modeling, distance measures) to a new data environment (audio-to-animation) without disclosing any improvement to the model itself.",461,60,1.86
8412514,0.85,high,"The claim applies established machine learning techniques (e.g., analyzing stored question-answer pairs, determining meta-level features, and using follow-up procedures) to a new data environment (web page layouts and inquiry responses) without disclosing any specific technological improvement to the machine learning model itself.",598,80,2.51
8606608,0.85,high,"The claim applies established machine learning techniques (perturbation, re-weighting, counterfactual analysis) to a new data environment (system performance estimation) without disclosing any improvement to the underlying model architecture, loss function, or training procedure.",662,73,1.96
8544028,0.85,high,"The claim recites generic software modules and established data extraction/mapping techniques applied to heterogeneous computer applications, without disclosing any improvement to the underlying machine learning models or algorithms.",694,58,1.61
8548800,0.85,high,"The claim applies established phonetic comparison techniques to a new data environment (user input strings) without disclosing any improvement to the underlying machine learning model, as it merely classifies consonants into buckets and computes distances based on predefined rules.",612,69,1.81
8370369,0.85,high,The claim applies established data matching and multi-layer analysis techniques to a network fault localization problem without disclosing any technological improvement to the underlying models or algorithms.,681,54,1.55
8429177,0.85,high,The claim applies established measurement and threshold comparison techniques to a new data environment (web hosting growth) without disclosing any improvement to the underlying machine learning model or algorithm.,491,57,2.05
8560475,0.1,high,"The claim recites a specific technological improvement to the DFA graph traversal process by introducing a walker state and commands that allow the processor to interpret the state of the DFA state machine, which is a structural and operational improvement to the model itself, not merely applying established ML to a new data environment.",582,85,3.21
8463730,0.85,high,The claim applies established hashing and rule-matching techniques to network transaction data without disclosing any improvement to the underlying machine learning model or algorithm.,474,53,1.64
8521680,0.85,high,"The claim applies established machine learning techniques (analysis, tagging, association, temporal metrics) to a new data environment (user data for location context) without disclosing any improvement to the machine learning model itself.",513,65,1.98
8407236,0.85,high,"The claim applies established machine learning techniques (clustering, frequency filtering) to a new data environment (query logs for dictionary expansion) without disclosing any improvement to the underlying models or algorithms.",501,62,2.07
8539080,0.85,high,The claim applies established routing and throttling rules based on server health and client information without disclosing any technological improvement to the machine learning model itself.,569,53,1.64
8452448,0.85,high,"The claim applies established machine learning techniques (action models, outcome evaluation, selection) to a robot control environment without disclosing any improvement to the model architecture, loss function, training procedure, representation, or sampling method.",495,67,1.91
8453245,0.0,high,"The claim recites a specific technological improvement: building and applying a shield to disable a function or interface in response to a program crash, which is not an established machine learning technique applied to a new data environment.",501,66,1.75
8515994,0.1,high,"The claim recites a specific technological improvement to the model itself, namely a method for preloading fields based on stored metadata and URIs to populate a search query, which is not merely applying established ML to a new data environment.",680,70,2.0
8438183,0.85,high,"The claim applies established machine learning techniques (weighted attributes, function-based searching, weight modification based on database statistics) to a new data environment (searching for data concerning a specific individual) without disclosing any technological improvement to the model itself.",607,73,2.06
8452717,0.85,high,"The claim applies established machine learning techniques (e.g., populating guidance structures from templates based on collected materials) to a new data environment (people services with ad-hoc activities) without disclosing any technological improvement to the model itself.",508,70,2.04
8539348,0.85,high,"The claim applies established machine learning techniques (e.g., word frames, contracted portions) to a new data environment (input member selections) without disclosing a specific technological improvement to the model itself.",570,63,1.91
8412735,0.85,high,"The claim applies established machine learning techniques (conditional functional dependencies, iterative refinement) to a new data environment (electricity smart grid) without disclosing any improvement to the underlying model architecture, loss function, or training procedure.",509,68,1.97
8482625,0.15,high,"The claim recites a specific technological improvement to image noise estimation by using local difference measures across color channels to compute color correlation values, which is a novel method for noise level calculation, not merely applying established ML to a new domain.",492,70,2.08
8606815,0.85,high,"The claim applies established machine learning techniques (sentiment analysis, taxonomy generation, co-occurrence analysis) to a new data environment (electronic text from multiple sources) without disclosing any improvement to the machine learning models themselves.",804,68,2.22
8484203,0.85,high,"The claim applies established machine learning techniques (co-interaction scores, relatedness scores, ranking) to a new data environment (media items, entities, media types) without disclosing any improvement to the machine learning model itself.",611,69,1.88
8495201,0.85,high,"The claim applies established clustering techniques (seed selection, distance-based assignment, metric computation) to a network domain without disclosing any improvement to the underlying machine learning model, architecture, or training procedure.",548,63,2.47
8583471,0.95,high,"The claim applies established machine learning techniques (predictive modeling, selecting predictive factors, defining ranges) to a new data environment (social networking system user data) without disclosing any technological improvement to the model itself.",498,66,1.97
8396595,0.1,high,"The claim recites specific technological improvements such as generating a collision gradient weighting matrix and a joint limit gradient weighting matrix based on measured distances and joint vectors, which are not merely applying established machine learning to a new data environment but rather disclose a new method for collision avoidance in articulated systems.",572,80,2.17
8515805,0.95,high,"The claim applies established machine learning techniques (implicit criteria determination, profile creation, relevance scoring) to a new data environment (job advertising) without disclosing any technological improvement to the machine learning model itself.",646,65,1.73
8560626,0.15,high,"The claim recites a specific distributed election protocol with timing and numeric suitability comparisons, which is a technological improvement to the system's operation rather than applying established ML to a new domain.",596,60,2.37
8589799,0.1,high,"The claim recites a specific technological improvement to a computer administration system by providing a commentary input area that automatically stores contemporaneous component data with comments, which is not merely applying established machine learning to a new data environment.",554,67,1.97
